Image,Title,Author,Format,Rating,Price,OldPrice,ISBN,Category
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/5648/9781564843159.jpg,Flip Your Classroom,Jonathan Bergmann,Paperback,4.0,16.38,19.95,9781564843159,Teaching-Resources-Education
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/6070/9781607066156.jpg,The Walking Dead Volume 17: Something to Fear,Robert Kirkman,Paperback,4.5,12.78,12.99,9781607066156,Graphic-Novels-Anime-Manga
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/2015/9780201558029.jpg,Concrete Mathematics,Ronald L. Graham,Hardback,4.5,69.35,75.95,9780201558029,Computing
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8499/9781849943741.jpg,Textile Collage,MANDY PATTULLO,Hardback,4.0,18.32,27.5,9781849943741,Crafts-Hobbies
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/0073/9780007395200.jpg,Number the Stars,Lois Lowry,Paperback,4.0,6.76,8.8,9780007395200,Teen-Young-Adult
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/7679/9780767924719.jpg,No Shortcuts To The Top,Ed Viesturs,Paperback,4.0,11.66,21.1,9780767924719,Sport
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8448/9781844883523.jpg,The Happy Pear,David Flynn,Hardback,4.0,17.37,21.1,9781844883523,Food-Drink
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/5960/9780596008673.jpg,Head First Objects-Oriented Analysis and Design,Brett D. McLaughlin,Paperback,4.0,45.66,63.0,9780596008673,Computing
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/4404/9780440414803.jpg,Holes,Louis Sachar,Paperback,4.0,7.8,7.95,9780440414803,Childrens-Books
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/0082/9780008275709.jpg,"Dear Ijeawele, or a Feminist Manifesto in Fifteen Suggestions",Chimamanda Ngozi Adichie,Paperback,4.5,4.93,6.7,9780008275709,Poetry-Drama
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8917/9781891767005.jpg,The Cautious Canine,Ph.D. Patricia B. McConnell,Paperback,4.0,6.28,7.0,9781891767005,Natural-History
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/2419/9780241954973.jpg,The Girl on the Cliff,Lucinda Riley,Paperback,4.0,11.01,11.5,9780241954973,Romance
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/3409/9780340995105.jpg,Generous Justice,Timothy Keller,Paperback,4.5,8.27,12.4,9780340995105,Religion
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4215/9781421580401.jpg,"Tokyo Ghoul, Vol. 5",Sui Ishida,Paperback,4.5,8.12,11.4,9781421580401,Graphic-Novels-Anime-Manga
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4728/9781472822444.jpg,Rabaul 1943-44,Mark Lardas,Paperback,4.0,13.59,17.0,9781472822444,Transport
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/1339/9780133979794.jpg,The Adobe Photoshop Lightroom CC Book for Digital Photographers,Scott Kelby,Paperback,4.5,39.55,59.91,9780133979794,Computing
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/1402/9780140280395.jpg,The Map That Changed the World,Simon Winchester,Paperback,4.0,10.94,13.9,9780140280395,Natural-History
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8497/9781849756136.jpg,Monochrome Home,Hilary Robertson,Hardback,3.5,23.14,31.4,9781849756136,Art-Photography
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8579/9781857988536.jpg,Ubik,Philip K. Dick,Paperback,4.0,4.9,11.4,9781857988536,Science-Fiction-Fantasy-Horror
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/0617/9780061791437.jpg,"Writing Screenplays That Sell, New Twentieth Anniversary Edition",Michael Hauge,Paperback,4.0,18.44,21.1,9780061791437,Reference
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/7437/9781743793527.jpg,Dreamscapes,Claire Takacs,Hardback,4.5,33.93,43.2,9781743793527,Home-Garden
