Image,Title,Author,Format,Rating,Price,OldPrice,ISBN,CatID,BookID,Year,Position,Status,Description
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/7871/9781787131712.jpg,The Little Book of House Plants and Other Greenery,Emma Sibley,Hardback,4.0,9.94,11.4,9781787131712,cat08,book05287,1986/05/04,5287,Available,
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/6070/9781607059011.jpg,Quilt As-You-Go Made Modern,Jera Brandvig,Paperback,4.0,15.88,18.0,9781607059011,cat08,book05288,2008/01/05,5288,Available,
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8444/9781844487226.jpg,20 to Knit: Mini Christmas Knits,Sue Stratford,Paperback,3.5,5.58,6.2,9781844487226,cat08,book05289,2009/01/16,5289,Available,
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/7419/9781741966312.jpg,Really Wild Tea Cosies,Loani Prior,Paperback,4.5,13.11,16.0,9781741966312,cat08,book05290,2003/04/04,5290,Available,
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8434/9781843404712.jpg,Blankets and Throws To Knit,Debbie Abrahams,Paperback,4.0,11.95,16.0,9781843404712,cat08,book05291,2009/06/30,5291,Available,
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8440/9781844038039.jpg,Crap Taxidermy,Kat Su,Hardback,4.0,8.05,9.5,9781844038039,cat08,book05292,1999/04/23,5292,Available,
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4441/9781444103793.jpg,Improve Your Handwriting,Rosemary Sassoon,Paperback,3.5,11.82,12.4,9781444103793,cat08,book05293,1985/06/13,5293,Available,
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8635/9781863514262.jpg,Colour Confidence in Embroidery,Trish Burr,Hardback,4.5,25.85,30.9,9781863514262,cat08,book05294,1977/11/19,5294,Available,
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4236/9781423645566.jpg,Daydreams Coloring Book,Hanna Karlzon,Hardback,5.0,12.0,16.0,9781423645566,cat08,book05295,2000/05/04,5295,Available,
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/7824/9781782490326.jpg,Colour Recipes for Painted Furniture and More,Annie Sloan,Paperback,4.0,15.74,19.1,9781782490326,cat08,book05296,1981/10/29,5296,Available,
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/7822/9781782213895.jpg,Mandalas to Crochet,Haafner Linssen,Paperback,4.5,12.66,13.9,9781782213895,cat08,book05297,1990/06/01,5297,Available,
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/3995/9780399536892.jpg,Finish This Book,Keri Smith,Paperback,4.0,14.59,16.0,9780399536892,cat08,book05298,2003/10/25,5298,Available,
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4728/9781472834706.jpg,Undaunted: Normandy,David Thompson,Game,0.0,25.34,33.5,9781472834706,cat08,book05299,2001/01/29,5299,Available,
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/6014/9781601404954.jpg,Easy Crochet Critters,Leisure Arts,Paperback,4.0,4.42,5.0,9781601404954,cat08,book05300,1984/12/22,5300,Available,
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4521/9781452164601.jpg,Celestial One Line a Day,Yao Cheng,Notebook / blank book,4.5,12.92,21.5,9781452164601,cat08,book05301,1983/01/11,5301,Available,
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/6176/9781617691744.jpg,"Lotta Jansdotter Everyday Style:Key Pieces to Sew + Accessories,",Lotta Jansdotter,Hardback,4.0,21.74,28.8,9781617691744,cat08,book05302,2013/07/26,5302,Available,
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9789/4916/9789491643248.jpg,"Unicorns, Dragons and More Fantasy Amigurumi",Amigurumipatterns Net,Paperback,4.5,14.54,19.1,9789491643248,cat08,book05303,1981/06/18,5303,Available,
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8566/9781856699174.jpg,Bird Bingo,Christine Berrie,Paperback,4.5,17.38,24.0,9781856699174,cat08,book05304,2013/07/18,5304,Available,
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4197/9781419729478.jpg,Mending Matters:Repair and Renew Favorite Denim and More with Sas,Katrina Rodabaugh,Hardback,4.0,20.16,23.0,9781419729478,cat08,book05305,1998/03/25,5305,Available,
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/5453/9780545396349.jpg,Star Wars Folded Flyers,Ben Harper,Mixed media product,4.0,14.75,17.0,9780545396349,cat08,book05306,1975/02/28,5306,Available,
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/6005/9781600590610.jpg,Doodle Stitching,Aimee Ray,Paperback,4.0,10.84,16.0,9781600590610,cat08,book05307,1991/11/21,5307,Available,
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8444/9781844487400.jpg,20 to Crochet: Mini Christmas Crochet,Val Pierce,Paperback,4.0,5.79,6.2,9781844487400,cat08,book05308,2016/10/01,5308,Available,
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/7822/9781782211068.jpg,Crewel Intentions,Hazel Blomkamp,Paperback,4.5,16.29,19.1,9781782211068,cat08,book05309,2002/11/18,5309,Available,
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4059/9781405925136.jpg,The Magical Christmas,Lizzie Mary Cullen,Paperback,4.5,12.68,12.9,9781405925136,cat08,book05310,2005/05/28,5310,Available,
